Name,Day and Time,Address,Phone Number,Latitude,Longitude
Second Antioch Baptist Church,Wednesday: Open 12:00 PM Close 2:00 PM Saturday: Open 9:00 AM Close 11:00 AM,"912-18 North 41st Street, Philadelphia, PA, USA",215-387-6774,39.9731617,-75.2062984
Frontline Dads,Thursday: Open 11:30 AM Close 1:00 PM Saturday: Open 11:30 AM Close 1:00 PM,"410 North 34th Street, Philadelphia, PA, USA",267-414-4764,39.961901,-75.1913079
Frontline Dads,Thursday: Open 1:00 PM Close 3:00 PM,"N 24th St & W Somerset St, Philadelphia, PA, USA",484-532-8772,40.008257,-75.168094
True Vine Worship Center,Tuesday: Open 9:30 AM Close 12:30 PM,"521-23 W Lehigh Ave, Philadelphia, PA, USA",445-248-6152,39.9956334,-75.1676635
Small Things Philly Inc.,Wednesday: Open 11:00 AM Close 3:00 PM Friday: Open 9:00 AM Close 12:00 PM Saturday: Open 10:00 AM Close 1:00 PM,"3510 A St, Philadelphia, PA, USA",267-702-0134,40.0031007,-75.1264119
Mighty Writers West,Monday: Open 12:00 PM Close 1:30 PM Tuesday: Open 12:00 PM Close 1:30 PM Wednesday: Open 12:00 PM Close 1:30 PM Thursday: Open 12:00 PM Close 1:30 PM Friday: Open 12:00 PM Close 1:30 PM,"3520 Fairmount Ave, Philadelphia, PA, USA",215-387-1066,39.9660517,-75.1938578
Helping Hands,Monday: Open 11:00 AM Close 3:00 PM,"4667 Paul St, Philadelphia, PA, USA",484-579-0490,40.0159116,-75.0838551
Denise's Pantry @ The Print Foundation,Friday: Open 3:00 PM Close 5:00 PM,"5843-55 Catharine St, Philadelphia, PA, USA",215-828-7091,39.9508432,-75.2407431
African Family Health Organization (AFAHO),]First Friday of the Month: Open 9:30 AM Close 11:30 AM Third Friday of the Month: Open 9:30 AM Close 11:30 AM,"5400 Grays Ave, Philadelphia, PA, USA",215-546-1232,39.9334171,-75.2165588
Philadelphia Masjid,Thursday: Open 11:00 AM Close 1:00 PM,"4700 Wyalusing Ave, Philadelphia, PA, USA",267-265-6334,39.9704033,-75.2162294
Rep. Amen Brown (Brown St),Wednesday: Open 10:30 AM Close 11:30 AM Friday: Open 10:30 AM Close 11:30 AM,"3853 Brown Street, Philadelphia, PA, USA",267-344-6037,39.9678799,-75.1994381
St. James School - Community Fridge,24/7,"3217 West Clearfield Street, Philadelphia, PA, USA",,40.0040336,-75.1823724
St. James School - The Welcome Table,Saturday: Open 8:00 AM Close 10:00 AM  ext. 126,"3217 West Clearfield Street, Philadelphia, PA, USA",215-226-1276,40.0040336,-75.1823724
South Philly Community Fridge at LUHV Vegan Bistro,24/7,"1840 Ellsworth Street, Philadelphia, PA, USA",,39.9378336,-75.1741459
South Philly Community Fridge - Pantry at Porco's Philly,24/7,"1100 S 22nd St, Philadelphia, PA, USA",,39.938843,-75.180075
"South Philly Community Fridge - Pantry, at Growing Together Garden",24/7,"2550 Reed Street, Philadelphia, PA, USA",,39.9352806,-75.1868297
The People's Fridge,24/7,"125 South 52nd Street, Philadelphia, PA, USA",,39.9574045,-75.2250673
Siloam Baptist Church,Friday: Open 11:30 AM Close 1:00 PM (610) 275-8163,"1329 Willow St, Norristown, PA, USA",,40.1234571,-75.335302
Shiloh Baptist Church,Saturday: Open 1:00 PM Close 3:00 PM (610) 270-9949,"610 George St, Norristown, PA, USA",,40.120814,-75.349424
Daily Bread Community Pantry,Wednesday: Open 9:00 AM Close 11:00 AM Thursday: Open 6:00 PM Close 8:00 PM Saturday: Open 9:00 AM Close 11:00 AM (610) 489-5540,"3938 Ridge Pike, Collegeville, PA, USA",,40.1843713,-75.4488673
Cecil and Grace Bean Kitchen,Meals Provided: Saturday: Open 8:00 AM Close 9:00 AM Sunday: Open 8:00 AM Close 9:00 AM Third Saturday of the Month: Open 1:00 PM Close 2:00 PM Third Sunday of the Month: Open 5:30 PM Close 6:30 PM Tuesday: Open 11:30 AM Close 12:30 PM Wednesday: Open 11:30 AM Close 12:30 PM Thursday: Open 11:30 AM Close 12:30 PM (484) 433-1059,"520 Church Street, Norristown, PA, USA",,40.1162429,-75.3428504
Epiphany Fellowship Church - Community Fridge,24/7,"1632 West Diamond street, Philadelphia, PA, USA",215-769-7000,39.9851003,-75.1612073
Word in Action,Monday: Open 1:30 PM Close 3:00 PM Tuesday: Open 1:00 PM Close 3:00 PM Thursday: Open 11:00 AM Close 3:00 PM Wednesday: Open 1:30 PM Close 3:00 PM,"1539 West Courtland Street, Philadelphia, PA, USA",215-324-7665,40.023357,-75.150581
Why Not Prosper,Monday: Open 8:00 AM Close 10:00 AM Tuesday: Open 8:00 AM Close 10:00 AM,"717 East Chelten Avenue, Philadelphia, PA, USA",215-842-2360,40.0445593,-75.1658968
White Rock Baptist Church,Tuesday: Open 8:30 AM Close 12:30 PM,"5240 Chestnut Street, Philadelphia, PA, USA",215-474-1738,39.9580297,-75.2267274
Welfare Pride,First Thursday of the Month: Open 9:00 AM Close 12:00 PM,"1929 West 9th Street, Chester, PA, USA",610-245-9847,39.8411414,-75.3861858
Wayne Senior Center,Tuesday: Open 12:30 PM Close 2:00 PM Thursday: Open 12:30 PM Close 2:00 PM,"108 Station Rd, Wayne, PA, USA",610-688-6246,40.0452716,-75.386955
Unity in the Community - Houston House,Wednesday: Open 9:00 AM Close 12:00 PM,"2029 South 8th Street, Philadelphia, PA, USA",215-292-5081,39.9232246,-75.159555
Unity in the Community - Dixon House,Wednesday: Open 9:00 AM Close 12:00 PM,"920 South 20th Street, Philadelphia, PA, USA",215-292-5081,39.9404514,-75.1761787
Sure House Mission,First Saturday of the Month: Open 9:00 AM Close 11:00 AM  Third Saturday of the Month: Open 9:00 AM Close 11:00 AM Second Sunday of the Month: Open 2:00 PM Close 4:00 PM Fourth Sunday of the Month: Open 2:00 PM Close 4:00 PM,"145 Edward Drive Swedesboro, New Jersey",866-924-2677,39.748476,-75.354997
St Vincent de Paul Society Holy Cross Conferences,Wednesday: Open 3:30 PM Close 5:30 PM,"651 E Springfield Rd, Springfield, PA, USA",610-626-3321,39.9305446,-75.3120887
South Philly Community Fridge / Fridges & Families,24/7,"1149 South 9th Street, Philadelphia, PA, USA",,39.9349441,-75.1585769
"South Philly Community Fridge - Pantry, at Mifflin Square Park",24/7,"516 Wolf Street, Philadelphia, PA, USA",,39.9199649,-75.1558867
South Philly Community Fridge - DiSilvestro Playground,24/7,"1701 South 15th Street, Philadelphia, PA, USA",,39.929045,-75.1699872
South Philly Community Fridge - BOK Building,24/7,"1901 South 9th Street, Philadelphia, PA, USA",,39.9253554,-75.1602225
Shorter AME Church,Saturday: Open 9:00 AM Close 12:00 PM,"111 Pennington Avenue, Morton, PA, USA",610-543-6773,39.9105378,-75.3273337
SELF Inc - Outley House,Monday: Open 10:00 AM Close 3:00 PM Tuesday: Open 10:00 AM Close 3:00 PM Wednesday: Open 10:00 AM Close 3:00 PM Thursday: Open 10:00 AM Close 3:00 PM Friday: Open 10:00 AM Close 3:00 PM,"6901 Woodland Avenue, Philadelphia, PA, USA",215-724-8355,39.921524,-75.240236
SELF Inc - Station House,Sunday: Open 6:00 AM Close 6:00 PM Monday: Open 6:00 AM Close 6:00 PM Tuesday: Open 6:00 AM Close 6:00 PM Wednesday: Open 6:00 AM Close 6:00 PM Thursday: Open 6:00 AM Close 6:00 PM Friday: Open 6:00 AM Close 6:00 PM Saturday: Open 6:00 AM Close 6:00 PM,"2601 North Broad Street, Philadelphia, PA, USA",215-724-8355,39.9923816,-75.1544634
People's Kitchen (El Compadre),Tuesday: Open 10:00 AM Close 4:00 PM Wednesday: Open 10:00 AM Close 4:00 PM,"1149 South 9th Street, Philadelphia, PA, USA",215-469-1614,39.9349441,-75.1585769
Mt Airy Community Fridge & Pantry,24/7,"6900 Stenton Avenue, Philadelphia, PA, USA",,40.066336,-75.177453
Mighty Writers - West,Monday: Open 12:00 PM Close 2:00 PM Tuesday: Open 12:00 PM Close 2:00 PM Wednesday: Open 12:00 PM Close 2:00 PM Thursday: Open 12:00 PM Close 2:00 PM Friday: Open 12:00 PM Close 2:00 PM,"3520 Fairmount Avenue, Philadelphia, PA, USA",215-387-1066,39.9660517,-75.1938578
Mighty Writers - North,Monday: Open 12:00 PM Close 2:00 PM Tuesday: Open 12:00 PM Close 2:00 PM Wednesday: Open 12:00 PM Close 2:00 PM Thursday: Open 12:00 PM Close 2:00 PM Friday: Open 12:00 PM Close 2:00 PM,"2390 Master Street, Philadelphia, PA, USA",610-263-5379,39.9764526,-75.17476
Mighty Writers - Kennett Square,Friday: Open 9:00 AM Close 12:30 PM,"300 N Guernsey Rd, West Grove, PA, USA",484-720-8644,39.8255456,-75.8348095
Love Works Resource Center,Thursday: Open 10:00 AM Close 12:00 PM Saturday: Open 10:00 AM Close 1:00 PM,"740 N Henderson Rd, King of Prussia, PA, USA",484-754-6718,40.1127075,-75.3765961
ICNA Relief,Thursday: Open 1:00 Pm Close 4:00 PM Second Saturday of the Month: Open 1:00 PM Close 4:00 PM,"718 Swede Street suite 2, Norristown, PA, USA",610-424-4820,40.1184423,-75.3420992
Germantown Community Fridge,24/7,"20 W Armat St, Philadelphia, PA, USA",,40.0341454,-75.1743704
Germantown Community Fridge,24/7,"19 High St, Philadelphia, PA, USA",,40.0288405,-75.2286943
Food Not Bombs (South Philly),Saturday: Open 3:00 PM Close 4:00 PM,"500 Wolf Street, Philadelphia, PA, USA",828-335-0473,39.919951,-75.155772
East Falls Community Fridge,24/7,"3507 Midvale Avenue, Philadelphia, PA, USA",,40.0136597,-75.1926722
Delaware County Housing Authority,First Tuesday of the Month: Open 3:00 PM Close 5:00 PM Third Tuesday of the Month: Open 3:00 PM Close 5:00 PM,"1855 Constitution Avenue, Woodlyn, PA, USA",610-876-2521,39.872147,-75.353613
Crowned Community Foundation,Tuesday: Open 11:00 AM Close 5:00 PM,"23 North Broadway, Gloucester City, NJ, USA",856-349-2471,39.8973106,-75.1204143
Covenant Outreach Center,Thursday: Open 10:00 AM Close 2:00 PM,"1040 South 47th Street, Philadelphia, PA, USA",267-394-5584,39.9464955,-75.2147304
Courage Christian Center,Thursday: Open 10:00 AM Close 12:30 PM,"7584 Haverford Avenue, Philadelphia, PA, USA",215-477-4795,39.979156,-75.2685676
