Census Tract,Percent of Population Below Poverty Line
Tract 42101000101,4.7
Tract 42101000102,6
Tract 42101000200,18
Tract 42101000300,8
Tract 42101000401,19.5
Tract 42101000403,2.5
Tract 42101000404,5
Tract 42101000500,25.8
Tract 42101000600,9.6
Tract 42101000701,22.7
Tract 42101000702,9.6
Tract 42101000801,7.6
Tract 42101000803,8.5
Tract 42101000805,5.4
Tract 42101000806,12.9
Tract 42101000901,25.2
Tract 42101000902,13.6
Tract 42101001001,6.2
Tract 42101001002,2.7
Tract 42101001101,24.9
Tract 42101001102,8.2
Tract 42101001201,8.2
Tract 42101001203,6.5
Tract 42101001204,10.9
Tract 42101001301,2.7
Tract 42101001302,2.7
Tract 42101001400,12.9
Tract 42101001500,5.6
Tract 42101001600,7.3
Tract 42101001700,3.8
Tract 42101001800,5.2
Tract 42101001900,12.9
Tract 42101002000,12.1
Tract 42101002100,17
Tract 42101002200,14.7
Tract 42101002300,7.2
Tract 42101002400,11.3
Tract 42101002500,17.2
Tract 42101002701,13
Tract 42101002702,8.8
Tract 42101002801,12.4
Tract 42101002802,16.8
Tract 42101002900,18.2
Tract 42101003001,14.2
Tract 42101003002,20.7
Tract 42101003100,17
Tract 42101003200,14.6
Tract 42101003300,27.2
Tract 42101003600,23.5
Tract 42101003701,21.8
Tract 42101003702,12.8
Tract 42101003800,4.5
Tract 42101003901,18
Tract 42101003902,8.9
Tract 42101004001,21.6
Tract 42101004002,11.4
Tract 42101004101,21.2
Tract 42101004103,37.2
Tract 42101004104,27.3
Tract 42101004201,16.2
Tract 42101004202,18.2
Tract 42101005400,15.2
Tract 42101005500,11.8
Tract 42101005600,22.8
Tract 42101006000,26.6
Tract 42101006100,24.3
Tract 42101006200,33
Tract 42101006300,39.7
Tract 42101006400,35.8
Tract 42101006500,20.6
Tract 42101006600,46.5
Tract 42101006700,27.6
Tract 42101007000,11.8
Tract 42101007101,34.5
Tract 42101007102,29.7
Tract 42101007200,26.3
Tract 42101007300,21.9
Tract 42101007400,29.3
Tract 42101007700,31.3
Tract 42101007800,33.2
Tract 42101007900,12.2
Tract 42101008000,23
Tract 42101008101,29.2
Tract 42101008102,19.7
Tract 42101008200,27.2
Tract 42101008301,30.9
Tract 42101008302,34.5
Tract 42101008400,28.4
Tract 42101008500,25
Tract 42101008601,15.8
Tract 42101008602,22.6
Tract 42101008701,15.3
Tract 42101008702,33.6
Tract 42101008801,41.7
Tract 42101008802,70.2
Tract 42101009000,54.1
Tract 42101009100,47.4
Tract 42101009200,30.4
Tract 42101009300,26.7
Tract 42101009400,41.5
Tract 42101009500,36.2
Tract 42101009600,25.6
Tract 42101009801,11.6
Tract 42101009802,25.4
Tract 42101010000,21.8
Tract 42101010100,18.7
Tract 42101010200,35.6
Tract 42101010300,32.1
Tract 42101010400,53.1
Tract 42101010500,44.5
Tract 42101010600,47.5
Tract 42101010700,32.6
Tract 42101010800,37.8
Tract 42101010900,42.1
Tract 42101011000,57.5
Tract 42101011100,22.9
Tract 42101011200,49.2
Tract 42101011300,33.5
Tract 42101011400,35.5
Tract 42101011500,11.1
Tract 42101011700,30.5
Tract 42101011800,38.2
Tract 42101011900,21.5
Tract 42101012000,9.9
Tract 42101012100,19.5
Tract 42101012201,21.7
Tract 42101012203,28.4
Tract 42101012204,18.4
Tract 42101012501,9.8
Tract 42101012502,10.5
Tract 42101013100,33.6
Tract 42101013200,25.7
Tract 42101013300,15.5
Tract 42101013401,9.7
Tract 42101013402,9.2
